amount_usd,amount_src,fee,exchange_rate_src_to_dest,new_device,location_mismatch,ip_risk_score,account_age_days,device_trust_score,chargeback_history(count),risk_score(internal),txn_velocity_1h,txn_velocity_24h,corridor_risk,transaction_year,home_country_CA,home_country_UK,home_country_US,source_currency_CAD,source_currency_GBP,source_currency_USD,dest_currency_CAD,dest_currency_CNY,dest_currency_EUR,dest_currency_GBP,dest_currency_INR,dest_currency_MXN,dest_currency_NGN,dest_currency_PHP,dest_currency_USD,channel_ATM,channel_mobile,channel_web,ip_country_CA,ip_country_UK,ip_country_UNKNOWN_MISMATCH,ip_country_US,kyc_tier_enhanced,kyc_tier_low,kyc_tier_standard,is_fraud
260.49,260.49,4.85,17.241379,0,0,0.316,367,0.939,0,0.176,0,0,0.2,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
87.5,87.5,2.31,0.8,1,0,0.24,1018,0.784,0,0.087,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
254.76,254.76,4.75,1111.111111,0,1,0.448,298,0.336,0,0.166,0,0,0.25,2022,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0
326.05,326.05,5.85,1.351351,0,0,0.066,263,0.522,0,0.223,0,0,0.0,2022,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
217.13,293.42,5.81,822.222222,1,0,0.366,853,0.68,0,0.29,0,0,0.0,2022,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
208.25,208.25,4.3,1111.111111,0,1,0.29,367,0.939,0,0.176,0,0,0.25,2022,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
121.71,121.71,3.06,1111.111111,1,0,0.15,298,0.186,0,0.166,0,0,0.25,2022,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
39.5,39.5,1.3,0.8,0,0,0.291,1018,0.934,0,0.087,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
121.06,121.06,3.04,1.0,0,0,0.163,147,0.551,0,0.391,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
204.53,204.53,4.61,1.351351,0,0,0.194,263,0.522,0,0.223,0,0,0.0,2022,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
56.43,76.26,3.89,5.285714,0,0,0.424,1041,0.867,0,0.245,0,0,0.0,2022,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
110.37,149.15,3.63,12.758621,0,0,0.554,366,0.662,0,0.225,0,0,0.0,2022,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0
46.16,46.16,1.0,0.8,0,0,0.41,1018,0.934,0,0.087,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
97.81,97.81,3.11,1111.111111,0,0,0.647,147,0.551,0,0.391,0,0,0.25,2022,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
150.59,150.59,3.38,1.351351,0,1,0.27,1016,0.944,0,0.247,0,0,0.0,2022,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
232.66,232.66,4.31,1.0,0,0,0.271,263,0.522,0,0.223,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
91.61,91.61,1.63,0.8,0,0,0.537,263,0.522,0,0.223,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
61.27,61.27,1.79,1.0,0,0,0.223,367,0.939,0,0.176,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0
108.19,146.2,2.67,5.285714,0,0,0.258,172,0.881,0,0.199,0,0,0.0,2022,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
364.36,291.49,4.34,1.0,0,0,0.064,4,0.892,0,0.407,0,0,0.0,2022,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
307.68,307.68,5.25,0.925926,0,0,0.931,263,0.522,0,0.223,0,0,0.0,2022,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
117.49,93.99,2.15,73.529412,0,0,0.197,4,0.892,0,0.407,0,0,0.0,2022,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
157.51,126.01,3.4,1.157407,0,0,0.483,4,0.892,0,0.407,0,0,0.05,2022,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
85.46,115.49,3.2,0.592,0,0,0.392,853,0.83,0,0.29,0,0,0.0,2022,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
58.14,46.51,1.72,1.25,0,0,0.368,4,0.892,0,0.407,0,1,0.0,2022,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0
179.75,179.75,3.7,0.925926,0,0,0.169,1016,0.944,0,0.247,0,0,0.0,2022,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
254.28,254.28,4.22,1.0,1,0,0.378,1018,0.784,0,0.087,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
102.54,102.54,2.65,1.0,0,1,0.478,367,0.939,0,0.176,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
183.02,146.41,3.23,1.157407,0,1,0.336,4,0.892,0,0.407,0,0,0.05,2022,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
400.46,400.46,6.69,7.142857,0,0,0.199,147,0.551,0,0.391,0,1,0.0,2022,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
240.72,240.72,4.18,58.823529,0,0,0.289,147,0.551,0,0.391,0,0,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
255.06,255.06,4.83,83.333333,0,0,0.53,263,0.522,0,0.223,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
116.87,93.5,3.36,1.689189,0,0,0.42,4,0.892,0,0.407,0,0,0.0,2022,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
67.19,67.19,2.01,0.925926,0,1,1.2,263,0.522,0,0.223,-1,0,0.0,2022,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1071.92,1071.92,17.53,0.925926,0,0,0.228,298,0.336,0,0.166,0,0,0.0,2022,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
7398.0,9997.3,151.89,5.285714,0,0,0.108,63,0.853,0,0.13,0,0,0.0,2022,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
232.7,314.46,5.88,0.74,0,0,0.583,947,0.625,0,0.268,0,0,0.0,2022,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0
1156.74,925.39,14.22,1.0,0,0,0.267,4,0.892,0,0.407,0,0,0.0,2022,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
85.28,115.25,3.0,43.529412,0,0,0.468,615,0.515,0,0.355,0,0,0.0,2022,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0
152.75,152.75,3.35,0.8,0,0,0.328,263,0.522,0,0.223,5,5,0.0,2022,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
71.62,71.62,2.69,1.0,0,0,0.129,1016,0.944,0,0.247,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
509.65,509.65,9.13,1111.111111,0,0,0.504,147,0.551,0,0.391,0,0,0.25,2022,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
190.42,190.42,3.86,1.0,0,0,1.2,298,0.336,0,0.166,-1,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
138.97,111.18,2.66,1.689189,1,0,0.327,4,0.742,0,0.407,0,0,0.0,2022,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
624.7,499.76,7.42,21.551724,0,0,0.31,4,0.892,0,0.407,7,7,0.0,2022,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
442.22,442.22,7.36,1.351351,0,0,0.395,830,0.799,0,0.102,0,0,0.0,2022,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
158.26,158.26,2.85,0.925926,0,0,0.568,263,0.522,0,0.223,0,0,0.0,2022,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
210.28,168.22,3.54,1.157407,1,0,0.973,4,0.742,0,0.407,0,0,0.05,2022,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
147.9,147.9,2.07,7.142857,0,0,0.394,263,0.522,0,0.223,0,0,0.0,2022,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
42.13,42.13,2.02,0.8,0,0,0.2,1016,0.944,0,0.247,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
144.6,144.6,3.6,83.333333,0,0,0.235,1018,0.934,0,0.087,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
222.14,300.19,5.1,5.285714,0,0,0.599,615,0.515,0,0.355,0,0,0.0,2023,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
103.83,103.83,1.67,58.823529,0,0,0.341,298,0.336,0,0.166,0,0,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
117.63,117.63,3.7,1.351351,0,0,0.269,298,0.336,0,0.166,0,0,0.0,2022,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
171.82,232.19,4.54,0.592,0,0,0.194,564,0.658,0,0.4,0,0,0.0,2022,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
183.95,183.95,3.2,0.8,0,0,0.137,367,0.939,0,0.176,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
125.6,125.6,3.24,1.0,0,0,0.422,257,0.894,0,0.257,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0
147.99,147.99,3.82,58.823529,0,1,0.416,257,0.894,0,0.257,0,0,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
241.96,193.57,3.76,73.529412,1,0,0.366,4,0.742,0,0.407,0,0,0.0,2022,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
57.84,57.84,2.75,7.142857,1,0,0.337,257,0.744,0,0.257,0,1,0.0,2022,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
130.13,130.13,2.95,83.333333,0,0,1.2,257,0.894,0,0.257,-1,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
55.96,55.96,1.7,17.241379,0,0,0.254,830,0.799,0,0.102,0,0,0.2,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
53.35,72.1,1.14,0.592,0,0,0.236,615,0.515,0,0.355,0,0,0.0,2022,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
121.49,121.49,2.31,7.142857,0,0,0.413,147,0.551,0,0.391,0,0,0.0,2022,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
238.54,238.54,5.12,58.823529,0,1,0.417,616,0.702,0,0.361,0,0,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
385.27,385.27,7.05,7.142857,0,0,0.458,367,0.939,0,0.176,0,0,0.0,2022,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
92.88,92.88,1.62,0.925926,0,0,0.148,298,0.336,0,0.166,0,0,0.0,2022,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
191.16,191.16,3.9,1.351351,0,0,0.529,415,0.568,0,0.304,0,0,0.0,2022,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
83.97,113.48,1.99,61.666667,0,0,0.147,824,0.607,0,0.282,0,0,0.12,2022,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
17.54,17.54,1.04,58.823529,0,0,0.195,263,0.522,0,0.223,0,0,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
9993.4,9993.4,150.43,58.823529,0,0,0.205,298,0.336,0,0.166,0,0,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
193.81,155.05,3.33,1.0,0,0,0.402,4,0.892,0,0.407,0,0,0.0,2022,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1218.1,1218.1,19.59,83.333333,0,0,0.516,616,0.702,0,0.361,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
90.3,90.3,2.01,58.823529,0,0,0.255,367,0.939,0,0.176,0,1,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0
375.17,506.98,8.93,5.285714,0,0,0.303,272,0.792,0,0.048,0,0,0.0,2022,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
246.2,246.2,3.7,1.0,0,0,0.669,263,0.522,0,0.223,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
33.26,33.26,1.52,1111.111111,0,0,0.222,1016,0.944,0,0.247,0,0,0.25,2022,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
176.05,176.05,3.88,58.823529,0,0,0.359,367,0.939,0,0.176,0,0,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0
43.66,43.66,1.68,1.0,0,0,0.392,263,0.522,0,0.223,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
208.98,208.98,5.02,1.0,0,0,0.253,298,0.336,0,0.166,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
75.74,75.74,2.78,1.351351,1,0,0.159,263,0.372,0,0.223,0,0,0.0,2022,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
766.16,766.16,12.43,58.823529,1,1,0.379,257,0.744,0,0.257,0,0,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0
280.34,224.27,5.04,1.0,0,0,0.94,454,0.71,0,0.238,3,3,0.0,2022,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
86.49,86.49,1.56,17.241379,0,0,0.518,298,0.336,0,0.166,0,0,0.2,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
110.58,110.58,2.57,0.8,0,0,0.076,298,0.336,0,0.166,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
22.9,22.9,1.21,0.925926,0,0,0.062,263,0.522,0,0.223,0,0,0.0,2022,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
260.98,260.98,5.08,58.823529,0,0,0.056,298,0.336,0,0.166,0,0,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
166.48,224.97,4.64,822.222222,0,0,0.204,385,0.75,0,0.229,0,0,0.0,2022,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
137.33,137.33,3.38,1.351351,0,0,0.396,661,0.92,0,0.259,0,0,0.0,2022,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
112.36,151.84,2.92,61.666667,0,0,0.361,725,0.824,0,0.212,0,0,0.12,2022,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
39.97,54.01,1.97,1.0,0,0,0.607,615,0.515,0,0.355,0,0,0.0,2022,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
49.11,49.11,2.3,58.823529,1,0,0.219,1016,0.794,0,0.247,0,0,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
106.0,106.0,2.98,17.241379,0,0,0.538,147,0.551,0,0.391,0,0,0.2,2022,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
55.25,44.2,1.28,8.928571,0,1,0.426,4,0.892,0,0.407,0,1,0.0,2022,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
445.23,445.23,7.77,58.823529,0,0,0.279,298,0.336,0,0.166,0,0,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0
182.78,182.78,3.95,0.925926,0,0,0.672,367,0.939,0,0.176,0,0,0.0,2022,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
172.08,137.67,3.03,73.529412,0,0,0.295,4,0.892,0,0.407,0,0,0.0,2022,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
350.66,350.66,5.96,83.333333,0,0,0.18,147,0.551,0,0.391,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1542.34,1233.87,19.43,73.529412,0,0,0.353,4,0.892,0,0.407,0,0,0.0,2022,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
150.01,150.01,3.28,1.351351,0,0,0.321,263,0.522,0,0.223,0,0,0.0,2022,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
180.94,180.94,4.13,1.351351,1,0,0.256,298,0.186,0,0.166,0,0,0.0,2022,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
60.84,60.84,1.63,1.0,0,0,0.265,298,0.336,0,0.166,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
293.31,293.31,4.71,7.142857,0,0,0.116,367,0.939,0,0.176,0,0,0.0,2022,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
155.98,155.98,2.53,1.0,0,0,0.286,298,0.336,0,0.166,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
168.0,227.02,5.53,822.222222,0,0,0.328,947,0.625,0,0.268,0,0,0.0,2022,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
188.31,188.31,3.59,0.8,0,0,0.512,367,0.939,0,0.176,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
735.01,735.01,11.92,1.351351,0,0,0.458,147,0.551,0,0.391,0,1,0.0,2022,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
49.44,49.44,1.05,83.333333,0,0,0.406,263,0.522,0,0.223,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
88.72,70.98,2.69,1.689189,0,0,0.142,4,0.892,0,0.407,0,0,0.0,2022,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
82.83,82.83,2.46,58.823529,0,0,0.329,34,0.427,0,0.068,0,0,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
197.82,158.26,3.48,73.529412,0,0,0.451,718,0.953,0,0.169,0,2,0.0,2022,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
226.3,181.04,4.32,104.166667,0,0,0.677,4,0.892,0,0.407,0,1,0.0,2022,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
100.06,100.06,2.84,0.8,0,0,0.402,257,0.894,0,0.257,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
165.96,132.77,2.32,104.166667,0,0,0.267,4,0.892,0,0.407,0,0,0.0,2022,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
164.91,164.91,2.36,58.823529,0,0,0.389,1018,0.934,0,0.087,0,2,0.1,2022,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0
66.54,66.54,2.32,83.333333,0,0,0.075,298,0.336,0,0.166,0,0,0.0,2022,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
